,name,rating,address,description,review,alias,image_url,is_closed,review_count,coordinates,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
10,Botín,5,"Calle de Cuchilleros, 17, 28005 Madrid, Spain",Spanish Steakhouses ,"MADRID - 05/07/23 - What makes Botin so special other than it's listed as the oldest restaurant in the world by the Guinness Book of World Records.  Botin.... We were here 4/20/23 with a reservation and were seated immediately. It was a little hot that day, so my fiancé wore a sleeveless tank. Ooops! Thankfully,.... Doors opened at 13:00 (1 PM) and my wife and I arrived at 1:30 PM and were seated immediately.  Given the popularity and internet discussions on.... ",botín-madrid-3,https://s3-media2.fl.yelpcdn.com/bphoto/UpGNFadPgTEYPK-d6ksxuQ/o.jpg,False,647,"{'latitude': 40.41406, 'longitude': -3.70803}","{'address1': 'Calle de Cuchilleros, 17', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Cuchilleros, 17', '28005 Madrid', 'Spain']}",+34 913 66 42 17,Botín,,[],,,,,,,
11,La Mi Venta,5,"Plaza de la Marina Española, 7, 28013 Madrid, Spain",Spanish Steakhouses ,"Delicious seafood paella and refreshing sangriaI usually don't like sangria, way too sweet in my palate but we trusted our waiter and tried it. Oh my gosh,.... Reseñas en español y ingles:

La Mi Venta is across the street from the National Palace (Palacio Real de Madrid), so it's near a very popular area of the.... Excellent restaurant close to the palace and Plaza de Espana. Come as a partty so you can order some of the larger peices of meat and paella, which serve.... ",la-mi-venta-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/l_lP74i4eETX8d6v4JnJSQ/o.jpg,False,106,"{'latitude': 40.4204554916193, 'longitude': -3.71240258216858}","{'address1': 'Plaza de la Marina Española, 7', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28013', 'country': 'ES', 'state': 'M', 'display_address': ['Plaza de la Marina Española, 7', '28013 Madrid', 'Spain']}",+34 915 59 50 91,La Mi Venta,,[],,,,,,,
12,Metro Bistro,5,"Calle Imperial, 3, 28012 Madrid, Spain",Mediterranean Spanish Signature Cuisine ,"I highly recommend metro bistro because of their €39.5 7 course tasting menu. We started off with this incredible pumpkin soup with a strong cheese..... Siriloin steak too salty 
Too salty 
Potatoes gratin not good .
Very mediocre food 
Very disappointed. One of the best meals of my 8 day trip to Spain & Portugal! My friend met me in Madrid for the first night and we ended up at Metro Bistro after I found.... ",metro-bistro-madrid-5,https://s3-media2.fl.yelpcdn.com/bphoto/uDgvjX7B0XO6pAjdhpExWg/o.jpg,False,34,"{'latitude': 40.414641, 'longitude': -3.706778}","{'address1': 'Calle Imperial, 3', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Imperial, 3', '28012 Madrid', 'Spain']}",+34 913 66 33 19,Metro Bistro,,[],,,,,,,
13,TriCiclo,5,"Calle Santa María, 28, 28014 Madrid, Spain",Tapas Bars Spanish Modern European ,"Classic tasting menu was fantastic. Each dish had lots of flavor. As someone who is not a very adventurous eater and often feels like tasting menus are too.... Madrid is known for exceptional food and this spot - a Michellin Bib Gourmand was beyond expectation! This is an exceptional restaurant with atmosphere,.... Everything is great especially service.
We went in early at their opening hour without reservations. The restaurant filled up quickly, but it was a great.... ",triciclo-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/VXNxpz_jyP5Nu6GGoezvbA/o.jpg,False,86,"{'latitude': 40.41287, 'longitude': -3.69724}","{'address1': 'Calle Santa María, 28', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28014', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Santa María, 28', '28014 Madrid', 'Spain']}",+34 910 24 47 98,TriCiclo,,[],,,,,,,
14,Casa Toni,5,"Calle de la Cruz, 14, 28012 Madrid, Spain",Tapas/Small Plates Spanish ,"This spot is as good as people say - tasty tapas, large portions, friendly (and English-speaking!) service, and located right in the center of Madrid. We.... Casa Toni was one of the best places my wife and I visited in Spain. We found out about it on the Spain Revealed channel un YouTube. A great channel you.... Best place in Madrid for authentic Spanish tapas.  The reviews are excellent and they are right on target.  Rick Steves also featured it in one of his.... ",casa-toni-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/cPSxH71e7FR728d37O_pqA/o.jpg,False,92,"{'latitude': 40.4155522, 'longitude': -3.7018627}","{'address1': 'Calle de la Cruz, 14', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Cruz, 14', '28012 Madrid', 'Spain']}",+34 915 32 25 80,Casa Toni,,[],,,,,,,
15,Ten con Ten,5,"Calle de Ayala, 6, 28001 Madrid, Spain",Modern European ,"This place came highly recommended by a friend who had just visited Madrid on his honeymoon--and it did not ​. The atmosphere was an intimate setting, yet.... Because, Madrid, in reality, is nothing special. It does not have a great river, and hardly any skyscrapers. No channels, no lakes. Neither glorious ruins,.... We visited this restaurant because it was highly recommended by a friend and it didn't disappoint. We had a great meal and service was outstanding.  We.... ",ten-con-ten-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/kfmmQ0_bpqioyMxRPiKKgQ/o.jpg,False,175,"{'latitude': 40.42795714, 'longitude': -3.68870527}","{'address1': 'Calle de Ayala, 6', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28001', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Ayala, 6', '28001 Madrid', 'Spain']}",+34 915 75 92 54,Ten con Ten,,[],,,,,,,
16,Lakasa,5,"Plaza del Descubridor Diego de Ordás, 1, 28003 Madrid, Spain",Spanish Signature Cuisine ,"Traveling in Madrid alone, I wanted to treat myself to a good authentic Spanish meal and this place seemed to fit the bill. After doing some research, I.... Yes, it is that good. 

Yes, you should definitely make reservations. 

Yes, you should get the mussels. 

Yes, please save room for desserts. 

Cannot wait.... It is my fifth time to be here. It is hard to believe I live on the other side of the world! This is definitely the restaurant you never want to miss! The.... ",lakasa-madrid-5,https://s3-media4.fl.yelpcdn.com/bphoto/raOce94EiIG3x_zQE2UdlA/o.jpg,False,50,"{'latitude': 40.440875, 'longitude': -3.700715}","{'address1': 'Plaza del Descubridor Diego de Ordás, 1', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28003', 'country': 'ES', 'state': 'M', 'display_address': ['Plaza del Descubridor Diego de Ordás, 1', '28003 Madrid', 'Spain']}",+34 915 33 87 15,Lakasa,,[],,,,,,,
17,Salmón Gurú,4,"Calle de Echegaray, 21, 28014 Madrid, Spain",Cocktail Bars Gastropubs ,"I was a little skeptical about this place but so glad we went. Really interesting decor. The drinks were amazingly creative and delicious. 5/5 for both.... This place is fun to go to for the elaborate drinks served in dragons, bears, etc
The drinks were expensive for Spain but it was a fun place to check out.... Playful concept but gets up a little too much. Firstly, the menu was just confusing and hard to navigate. Sometimes new is just too complicated.  

The menu.... ",salmón-gurú-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/GrEpMpZ3QhGlskh8lsdiJQ/o.jpg,False,75,"{'latitude': 40.414924, 'longitude': -3.699517}","{'address1': 'Calle de Echegaray, 21', 'address2': '', 'address3': None, 'city': 'Madrid', 'zip_code': '28014', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Echegaray, 21', '28014 Madrid', 'Spain']}",+34 910 00 61 85,Salmón Gurú,,[],,,,,,,
18,La Malontina,5,"Calle Verónica, 4, 28014 Madrid, Spain",Modern European ,"La Malontina is a very small restaurant. There may be 6 tables total.  That said, we came without a reservation and were able to be seated for lunch with.... An amazing experience! A very quaint restaurant, probably can seat about 30 people, but quite lovely. The service was great, very kind, informative, and not.... A simply fantastic, intimate dining experience where pride is taken in the preparation of the food.  My son and I were alone and we simply handed the.... ",la-malontina-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/z05SU0y_M0ahOgXNkP-NMw/o.jpg,False,112,"{'latitude': 40.41177, 'longitude': -3.69542}","{'address1': 'Calle Verónica, 4', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28014', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Verónica, 4', '28014 Madrid', 'Spain']}",+34 914 20 31 08,La Malontina,,[],,,,,,,
19,Ojalá,5,"Calle San Andrés, 1, 28004 Madrid, Spain",Lounges Mediterranean Breakfast & Brunch ,"This place has sand!! When you you request a table, request to be seated in the basement. The basement has sand and beach vibes! 

I had some sangrias and.... Ojalá was one of those gems you need someone to recommend to you, and in this case it was our tour guide who did when I asked for a vegetarian spot rec. It.... I'm a huge fan of brunch here! They give you your main dish along with a side salad, bread, and yogurt! Plus, they also give you two drinks which I loved!!.... ",ojalá-madrid-4,https://s3-media3.fl.yelpcdn.com/bphoto/Yqws2Gj8igA6iHkcPIjADg/o.jpg,False,140,"{'latitude': 40.425511976945, 'longitude': -3.7039805741253}","{'address1': 'Calle San Andrés, 1', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle San Andrés, 1', '28004 Madrid', 'Spain']}",+34 915 23 27 47,Ojalá,,[],,,,,,,
20,Sala de Despiece,5,"Calle de Ponzano, 11, 28010 Madrid, Spain",Gastropubs Tapas Bars Tabernas ,"An amazing meal!

It's an omakase style dinner, pre fixe, with the ability to add on sides, but with the amount of food, there is no need for adding.... Amazing, unlike anything. Smart concept, I've ever experienced before. 
Make reservations and come open minded to try things, you typically don't like. 
And.... Ok so this review is technically for the SDD2 location, but they are not on Yelp so I will add it here!

Made a reservation a few weeks prior and came for.... ",sala-de-despiece-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/tjnNlK16FUrW-WSm7eh1OA/o.jpg,False,84,"{'latitude': 40.437931, 'longitude': -3.699483}","{'address1': 'Calle de Ponzano, 11', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28010', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Ponzano, 11', '28010 Madrid', 'Spain']}",+34 917 52 61 06,Sala de Despiece,,[],,,,,,,
21,Chocolatería San Ginés,5,"Pasadizo de San Ginés, 5, 28013 Madrid, Spain",Chocolatiers & Shops Churros Breakfast & Brunch ,"Before arriving in Madrid this March, the last time I had ingested a churro was probably in elementary school. My classmates and I all revered those rare.... Cashier had a very poor attitude as if she didn't want to be working. That was the start of our less than desirable experience. She was impatient and didn't.... FIRE staple of Madrid. This was highly recommended to us by a lot of people and I definitely second that. If you're in Madrid, this is a MUST go to place if.... ",chocolatería-san-ginés-madrid-6,https://s3-media4.fl.yelpcdn.com/bphoto/hwpN-tb20RdF_V8jPlCvyQ/o.jpg,False,1332,"{'latitude': 40.4167599, 'longitude': -3.7068}","{'address1': 'Pasadizo de San Ginés, 5', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28013', 'country': 'ES', 'state': 'M', 'display_address': ['Pasadizo de San Ginés, 5', '28013 Madrid', 'Spain']}",+34 913 65 65 46,Chocolatería San Ginés,,[],,,,,,,
22,Hanan,1,"Calle Ventura Rodríguez, 3, 28008 Madrid, Spain",African Ethiopian ,"We ordered the vegetarian plate for two persons (37€), and we each had a couple of beers to go with it (which increased our bill to a total of 47€).    The.... On our last night in Madrid, we wanted to try something different as we were tired of Spanish tapas and italian food.
We love Ethiopian food and came here.... Seeing as Yelp has a large American audience, I feel like it's fair that I review this restaurant through the lens of an American.  I'm fully aware of the.... ",hanan-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/vLWR1wY6tamFRSyzSJAR7A/o.jpg,False,58,"{'latitude': 40.4258837, 'longitude': -3.7133699}","{'address1': 'Calle Ventura Rodríguez, 3', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28008', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Ventura Rodríguez, 3', '28008 Madrid', 'Spain']}",+34 915 48 99 29,Hanan,,[],,,,,,,
23,El Mesón del Champiñón,3,"Calle Cava de San Miguel, 17, 28005 Madrid, Spain",Spanish Tapas Bars ,"THE BIG: Best mushroom tapas place in Madrid!

THE BLACK AND WHITE: Small quaint spot that serves mushroom tapas. They say back then the matadors.... QUICKIE REVIEW
Get the mushrooms!

FOOD
This is what I tried:
Mushrooms

They advertise the mushrooms as their big attraction for a reason, it's delicious..... A pleasant little tapas place, with cellar decor (and fake mushrooms on the ceiling), sporting a guy playing an electric piano. The house mushrooms were.... ",el-mesón-del-champiñón-madrid-3,https://s3-media3.fl.yelpcdn.com/bphoto/Mi51STd0wYCzWKB2lJ4K-Q/o.jpg,False,102,"{'latitude': 40.415006, 'longitude': -3.708161}","{'address1': 'Calle Cava de San Miguel, 17', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Cava de San Miguel, 17', '28005 Madrid', 'Spain']}",+34 915 59 67 90,El Mesón del Champiñón,,[],,,,,,,
24,La Musa,5,"Calle de Manuela Malasaña, 18, 28004 Madrid, Spain",Bars Mediterranean Breakfast & Brunch ,"Had a great lunch amongst the 4 of us, w fresh salads, fried Green tomatoes, langosti ba, venison, and duck gyozas. our waiter Luis was great! highly.... My partner and I stopped by La Musa for some lunch while visiting Madrid. The food was absolutely amazing, the staff were great, the atmosphere was lively.... Fun night out in Madrid. Small restaurant with very friendly helpful waitstaff. Ordered the tasting menu which is a good mix of the tapas. Would recommend.... ",la-musa-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/aiXijsWdsJDxHcpib3lf7g/o.jpg,False,92,"{'latitude': 40.42879, 'longitude': -3.70439}","{'address1': 'Calle de Manuela Malasaña, 18', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Manuela Malasaña, 18', '28004 Madrid', 'Spain']}",+34 914 48 75 58,La Musa,,[],,,,,,,
25,Txirimiri,5,"Calle del Humilladero, 6, 28005 Madrid, Spain",Basque Tapas/Small Plates Seafood ,"After a day of shopping all things football, we asked a local where they recommend we go for dinner. Couldn't make out what he was saying so he wrote it out.... Popped in for a quick standing tapas lunch at around noon. It happened to be Spanish mother's day and they hooked me up with a red carnation, swoon. A nice.... Get a glass or two of Spanish wine for €2-3. Get a couple tapas snacks for €2-4. Then hop to the next place and do it again. Get a night of packed bars,.... ",txirimiri-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/L5Mo6cfDFOTR5aklJS61EA/o.jpg,False,56,"{'latitude': 40.4110926, 'longitude': -3.7105837}","{'address1': 'Calle del Humilladero, 6', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Humilladero, 6', '28005 Madrid', 'Spain']}",+34 913 64 11 96,Txirimiri,,[],,,,,,,
26,Casa Benigna,5,"Calle Benigno Soto, 9, 28002 Madrid, Spain",Arroceria / Paella ,"Casa Benigna and its staff were absolutely wonderful! It was recommended to me by a Madrileño friend as having the best rice, and that was totally accurate..... EAT HERE IMMEDIATELY! I cannot recommend this quaint restaurant enough!The staff is amazing, caring and genuine. Impeccable service. They treat you like.... Great food and outstanding service-good interiors My husband and i came for pre birthday dinner and not only enjoyed the food but the owners were so.... ",casa-benigna-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/tbpiqnDkAshi2LiU9CMs3Q/o.jpg,False,61,"{'latitude': 40.448094, 'longitude': -3.6743163}","{'address1': 'Calle Benigno Soto, 9', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28002', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Benigno Soto, 9', '28002 Madrid', 'Spain']}",+34 914 13 33 56,Casa Benigna,,[],,,,,,,
27,Restaurante Corral de la Moreria,5,"Calle de la Moreria, 17, 28005 Madrid, Spain",Spanish Tapas Bars ,"If I could recommend doing one thing in Madrid, it would be this. From start to finish, this was an incredible and lovely experience. 

The service is.... Out of Country Review - Spain

Went to Restaurante Corral De La Moreria on Sunday night. The show makes this a can't miss experience, even though a few.... The BEST Tablao Flamenco show PERIOD. 

Every year we go to Madrid we never miss dining at Corral De La Moreria. 

You feel and hear every move and breath.... ",restaurante-corral-de-la-moreria-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/0T_OOSmbku0SxM1r5Qmg2A/o.jpg,False,80,"{'latitude': 40.412714, 'longitude': -3.714275}","{'address1': 'Calle de la Moreria, 17', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Moreria, 17', '28005 Madrid', 'Spain']}",+34 913 65 84 46,Restaurante Corral de la Moreria,,[],,,,,,,
28,Alhambra,4,"Calle de la Victoria, 9, 28012 Madrid, Spain",Spanish Tapas/Small Plates ,"Hit this joint with my wife in Madrid (Spain).  Super cool spot, everyone was super busy, but that didn't impact the awesome service we received.  Food and.... Stop. 
First thing you need to do is make sure you are in the right restaurant. 
Do Not go into #7 Barrilla Alhambra. That  is not the correct restaurant..... A great place to eat that is close to Sol, and not too touristy. Many of the restaurants in the area promise authentic food only for it to be middle of the.... ",alhambra-madrid-3,https://s3-media3.fl.yelpcdn.com/bphoto/X_Mg5SeKdWKfvkqPf2LnRw/o.jpg,False,453,"{'latitude': 40.41587, 'longitude': -3.7016}","{'address1': 'Calle de la Victoria, 9', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Victoria, 9', '28012 Madrid', 'Spain']}",+34 915 21 07 08,Alhambra,,[],,,,,,,
29,Angelita,5,"Calle de la Reina, 4, 28004 Madrid, Spain",Spanish Wine Bars Cocktail Bars ,"Really nice cozy place in the heart of Madrid !!

Great server!. We are huge winos, so my wife surprised me with this experience. In America this bill would of easily been $120-150 here with tip we spent $60. Im legit.... Having been living in Madrid for about a month now I can easily say that Angelita has been in my top two if not, my favorite dining experience. We made.... ",angelita-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/zeWQ9JQIJWMAWBwM_83EoA/o.jpg,False,30,"{'latitude': 40.420276, 'longitude': -3.700387}","{'address1': 'Calle de la Reina, 4', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Reina, 4', '28004 Madrid', 'Spain']}",+34 915 21 66 78,Angelita,,[],,,,,,,
